# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
#[BULBASAUR]
#Name = Bulbasaur
#Types = GRASS,POISON
#BaseStats = 45,49,49,45,65,65
#GenderRatio = FemaleOneEighth
#GrowthRate = Parabolic
#BaseExp = 64
#EVs = SPECIAL_ATTACK,1
#CatchRate = 45
#Happiness = 50
#Abilities = OVERGROW
#HiddenAbilities = CHLOROPHYLL
#Moves = 1,TACKLE,1,GROWL,3,VINEWHIP,6,GROWTH,9,LEECHSEED,12,RAZORLEAF,15,POISONPOWDER,15,SLEEPPOWDER,18,SEEDBOMB,21,TAKEDOWN,24,SWEETSCENT,27,SYNTHESIS,30,WORRYSEED,33,DOUBLEEDGE,36,SOLARBEAM
#TutorMoves = AMNESIA,ATTRACT,BODYSLAM,BULLETSEED,CHARM,CUT,DOUBLETEAM,ENDURE,ENERGYBALL,FACADE,FALSESWIPE,FLASH,GIGADRAIN,GRASSKNOT,GRASSPLEDGE,GRASSYGLIDE,GRASSYTERRAIN,HELPINGHAND,HIDDENPOWER,LEAFSTORM,LIGHTSCREEN,MAGICALLEAF,POWERWHIP,PROTECT,REST,ROCKSMASH,ROUND,SAFEGUARD,SEEDBOMB,SLEEPTALK,SLUDGEBOMB,SNORE,SOLARBEAM,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,SWORDSDANCE,TOXIC,VENOSHOCK,WEATHERBALL,WORKUP
#EggMoves = AMNESIA,CHARM,CURSE,GRASSYTERRAIN,INGRAIN,LEAFSTORM,MAGICALLEAF,NATUREPOWER,PETALDANCE,POWERWHIP,SKULLBASH,SLUDGE
##EggGroups = Monster,Grass
#HatchSteps = 5120
#Height = 0.7
#Weight = 6.9
#Color = Green
#Shape = Quadruped
#Habitat = Grassland
#Category = Seed
#Pokedex = Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.
#Generation = 1
#Evolutions = IVYSAUR,Level,16
#-------------------------------
[MOLLUCOTTA]
TutorMoves = ALLYSWITCH,ATTRACT,BRUTALSWING,CALMMIND,CUT,DARKPULSE,DOUBLETEAM,EARTHQUAKE,ENERGYBALL,FACADE,FOCUSBLAST,FOULPLAY,GIGAIMPACT,GRASSKNOT,HIDDENPOWER,HYPERBEAM,POISONJAB,PROTECT,PSYCHIC,REFLECT,REST,RETURN,ROCKSLIDE,ROUND,SAFEGUARD,HEX,SHADOWCLAW,SLEEPTALK,SOLARBEAM,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,THIEF,TOXIC,TRICKROOM,WILLOWISP,XSCISSOR
EggGroups = Grass,Amorphous
HatchSteps = 5120
Height = 1.5
Weight = 71.0
Color = Brown
Shape = Multiped
Category = Elder Tree
Pokedex = Trevenant are considered guardians of the trees. They protect the graves of those who have lost their loved ones in their forests.
Generation = 6
#-------------------------------
[LILORINA]
Name = Liloriña
Types = GHOST,WATER
BaseStats = 50,30,45,40,65,55
GenderRatio = AlwaysFemale
GrowthRate = Medium
BaseExp = 55
EVs = SPECIAL_ATTACK,1
CatchRate = 190
Happiness = 35
Abilities = GRIMTEARS,TANGLINGHAIR
HiddenAbilities = DRIZZLE
Moves = 1,ASTONISH,1,BUBBLE,4,DISARMINGVOICE,8,FAKETEARS,12,WATERPULSE,16,WHIRLPOOL,20,HEX,24,BITINGCOLD,28,TORMENT,32,CURSE,36,OMINOUSWIND,40,SURF,44,SHADOWBALL,48,SPITE,52,DESTINYBOND,56,HYDROPUMP
TutorMoves = SURF,WATERFALL,DEFOG,DIVE,RAINDANCE,HEX,ROUND,SCALD,WILLOWISP,BITINGCOLD,PLAYROUGH
EggMoves = HAZE,LIFEDEW,MUDDYWATER,PERISHSONG
EggGroups = Humanlike,Water1
HatchSteps = 5120
Height = 0.6
Weight = 0.9
Color = Purple
Shape = HeadBase
Habitat = WatersEdge
Category = Weeping
Pokedex = By nature, Liloriña are skittish, and are afraid of water and adult humans. They hover around small children apparently looking for someone to play with.
Generation = 9
Evolutions = YAQUENA,Level,39
#-------------------------------
[YAQUENA]
Name = Yaquena
Types = GHOST,WATER
BaseStats = 65,45,65,45,105,95
GenderRatio = AlwaysFemale
GrowthRate = Medium
BaseExp = 50
EVs = SPECIAL_ATTACK,1,SPECIAL_DEFENSE,1
CatchRate = 90
Happiness = 35
Abilities = GRIMTEARS,TANGLINGHAIR
HiddenAbilities = DRIZZLE
Moves = 1,ASTONISH,1,BUBBLE,1,DISARMINGVOICE,1,FAKETEARS,1,WATERPULSE,16,WHIRLPOOL,20,HEX,24,BITINGCOLD,28,TORMENT,32,CURSE,36,OMINOUSWIND,42,SURF,48,SHADOWBALL,54,SPITE,60,DESTINYBOND,66,HYDROPUMP
TutorMoves = SURF,WATERFALL,DEFOG,DIVE,RAINDANCE,HEX,ROUND,SCALD,WILLOWISP,BITINGCOLD,PLAYROUGH,LIGHTSCREEN,REFLECT,SAFEGUARD,ALLYSWITCH,FLASHCANNON,SCREECH,AVALANCHE
EggGroups = Humanlike,Water1
HatchSteps = 5120
Height = 1.0
Weight = 3.6
Color = Purple
Shape = Bipedal
Habitat = WatersEdge
Category = Weeping
Pokedex = Children of the Mazah region love to play with Yaquena. In battle, they use their shrill voice, wailing at the top of their lungs, flooding the area with tears.
Generation = 9
Evolutions = YORONAQUA,Item,DUSKSTONE
#-------------------------------
[YORONAQUA]
Name = Yoronaqua
Types = GHOST,WATER
BaseStats = 85,55,80,55,135,110
GenderRatio = AlwaysFemale
GrowthRate = Medium
BaseExp = 260
EVs = SPECIAL_ATTACK,2,SPECIAL_DEFENSE,1
CatchRate = 45
Happiness = 35
Abilities = GRIMTEARS,TANGLINGHAIR
HiddenAbilities = DRIZZLE
Moves = 0,CHILLINGWAIL,1,CHILLINGWAIL,1,ASTONISH,1,BUBBLE,1,DISARMINGVOICE,1,FAKETEARS,1,WATERPULSE,1,WHIRLPOOL,1,HEX,1,BITINGCOLD,1,TORMENT,1,CURSE,1,OMINOUSWIND,1,SURF,1,SHADOWBALL,1,SPITE,1,DESTINYBOND,1,HYDROPUMP
TutorMoves = SURF,WATERFALL,DEFOG,DIVE,RAINDANCE,HEX,ROUND,SCALD,WILLOWISP,BITINGCOLD,PLAYROUGH,LIGHTSCREEN,REFLECT,SAFEGUARD,ALLYSWITCH,FLASHCANNON,SCREECH,AVALANCHE,TRICKROOM,ROAR,TAUNT,ICEBEAM,BLIZZARD,HYPERBEAM,HAIL,TORMENT,THIEF,PSYCRUSH,FOULPLAY,NASTYPLOT,SNARL
EggGroups = Humanlike,Water1
HatchSteps = 5120
Height = 1.9
Weight = 10.0
Color = Purple
Shape = Bipedal
Habitat = WatersEdge
Category = Wailing
Pokedex = Normally dwelling in large bodies of water, Yoronaqua enjoy terrorizing the young and innocent. At night, their eerie, woman-like wail can echo for miles.
Generation = 9
#-------------------------------
[DUSKULL]
Name = Duskull
Types = GHOST
BaseStats = 20,40,90,25,30,90
GenderRatio = Female50Percent
GrowthRate = Fast
BaseExp = 59
EVs = SPECIAL_DEFENSE,1
CatchRate = 190
Happiness = 35
Abilities = LEVITATE
HiddenAbilities = FRISK
Moves = 1,LEER,1,NIGHTSHADE,6,DISABLE,9,ASTONISH,14,FORESIGHT,17,SHADOWSNEAK,22,PURSUIT,25,WILLOWISP,30,CONFUSERAY,33,CURSE,38,HEX,41,SHADOWBALL,46,MEANLOOK,49,PAYBACK,54,FUTURESIGHT
TutorMoves = ALLYSWITCH,ATTRACT,BLIZZARD,CALMMIND,DARKPULSE,DOUBLETEAM,FACADE,HIDDENPOWER,ICEBEAM,PROTECT,PSYCHIC,RAINDANCE,REST,RETURN,ROUND,HEX,SLEEPTALK,SUBSTITUTE,SUNNYDAY,SWAGGER,TAUNT,THIEF,TORMENT,TOXIC,TRICKROOM,WILLOWISP
EggMoves = DARKPULSE,DESTINYBOND,FEINTATTACK,GRUDGE,HAZE,IMPRISON,MEMENTO,OMINOUSWIND,PAINSPLIT,SKILLSWAP
EggGroups = Amorphous
HatchSteps = 6400
Height = 0.8
Weight = 15.0
Color = Black
Shape = HeadArms
Habitat = Forest
Category = Requiem
Pokedex = Duskull often find it hard to scare Mazian children because of the sugar skull masks they wear for fun. The children usually manage to scare the Duskull instead.
Generation = 3
WildItemUncommon = SPELLTAG
Evolutions = DUSCLOPS,Level,37
#-------------------------------
[DUSCLOPS]
Name = Dusclops
Types = GHOST
BaseStats = 40,70,130,25,60,130
GenderRatio = Female50Percent
GrowthRate = Fast
BaseExp = 159
EVs = DEFENSE,1,SPECIAL_DEFENSE,1
CatchRate = 90
Happiness = 35
Abilities = PRESSURE
HiddenAbilities = FRISK
Moves = 0,SHADOWPUNCH,1,SHADOWPUNCH,1,FUTURESIGHT,1,FIREPUNCH,1,ICEPUNCH,1,THUNDERPUNCH,1,GRAVITY,1,BIND,1,LEER,1,NIGHTSHADE,1,DISABLE,1,ASTONISH,6,DISABLE,9,ASTONISH,14,FORESIGHT,17,SHADOWSNEAK,22,PURSUIT,25,WILLOWISP,30,CONFUSERAY,33,CURSE,40,HEX,45,SHADOWBALL,52,MEANLOOK,57,PAYBACK,64,FUTURESIGHT
TutorMoves = ALLYSWITCH,ATTRACT,BLIZZARD,BRICKBREAK,CALMMIND,DARKPULSE,DOUBLETEAM,EARTHQUAKE,FACADE,GIGAIMPACT,HIDDENPOWER,HYPERBEAM,ICEBEAM,PROTECT,PSYCHIC,RAINDANCE,REST,RETURN,ROCKSLIDE,ROCKTOMB,ROUND,HEX,SLEEPTALK,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,TAUNT,THIEF,TORMENT,TOXIC,TRICKROOM,WILLOWISP
EggGroups = Amorphous
HatchSteps = 6400
Height = 1.6
Weight = 30.6
Color = Black
Shape = Bipedal
Habitat = Forest
Category = Beckon
Pokedex = The body of a Dusclops are thought to contain a void. No scientific tests or humans have survived experiment to find out.
Generation = 3
WildItemUncommon = SPELLTAG
Evolutions = DUSKNOIR,TradeItem,REAPERCLOTH
#-------------------------------
[DUSKNOIR]
Name = Dusknoir
Types = GHOST
BaseStats = 45,100,135,45,65,135
GenderRatio = Female50Percent
GrowthRate = Fast
BaseExp = 236
EVs = DEFENSE,1,SPECIAL_DEFENSE,2
CatchRate = 45
Happiness = 35
Abilities = PRESSURE
HiddenAbilities = FRISK
Moves = 1,SHADOWPUNCH,1,FUTURESIGHT,1,FIREPUNCH,1,ICEPUNCH,1,THUNDERPUNCH,1,GRAVITY,1,BIND,1,LEER,1,NIGHTSHADE,1,DISABLE,1,ASTONISH,6,DISABLE,9,ASTONISH,14,FORESIGHT,17,SHADOWSNEAK,22,PURSUIT,25,WILLOWISP,30,CONFUSERAY,33,CURSE,40,HEX,45,SHADOWBALL,52,MEANLOOK,57,PAYBACK,64,FUTURESIGHT
TutorMoves = ALLYSWITCH,ATTRACT,BLIZZARD,BRICKBREAK,CALMMIND,DARKPULSE,DOUBLETEAM,EARTHQUAKE,FACADE,FOCUSBLAST,GIGAIMPACT,HIDDENPOWER,HYPERBEAM,ICEBEAM,PROTECT,PSYCHIC,RAINDANCE,REST,RETURN,ROCKSLIDE,ROCKTOMB,ROUND,HEX,SLEEPTALK,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,TAUNT,THIEF,TORMENT,TOXIC,TRICKROOM,WILLOWISP
EggGroups = Amorphous
HatchSteps = 6400
Height = 2.2
Weight = 106.6
Color = Black
Shape = HeadArms
Category = Gripper
Pokedex = Due to Mazah's lack of superstitions surrounding death, Dusknoirs are welcomed in towns more-so than other regions. Dusknoirs apparently hate this.
Generation = 4
WildItemUncommon = SPELLTAG
#-------------------------------
[GOTHITA]
Name = Gothita
Types = PSYCHIC
BaseStats = 45,30,50,45,55,65
GenderRatio = Female75Percent
GrowthRate = Parabolic
BaseExp = 58
EVs = SPECIAL_DEFENSE,1
CatchRate = 200
Happiness = 70
Abilities = FRISK,COMPETITIVE
HiddenAbilities = SHADOWTAG
Moves = 1,POUND,3,CONFUSION,7,TICKLE,8,PLAYNICE,10,FAKETEARS,14,DOUBLESLAP,16,PSYBEAM,19,EMBARGO,24,FEINTATTACK,25,PSYSHOCK,28,FLATTER,31,FUTURESIGHT,33,HEALBLOCK,37,PSYCHIC,40,TELEKINESIS,46,CHARM,48,MAGICROOM
TutorMoves = ALLYSWITCH,ATTRACT,CALMMIND,DARKPULSE,DOUBLETEAM,ENERGYBALL,FACADE,FOULPLAY,GRASSKNOT,HELPINGHAND,HIDDENPOWER,LIGHTSCREEN,PROTECT,PSYCHIC,PSYSHOCK,RAINDANCE,REFLECT,REST,RETURN,ROCKSLIDE,ROCKTOMB,ROUND,SAFEGUARD,SLEEPTALK,SUBSTITUTE,SWAGGER,TAUNT,THIEF,THUNDERBOLT,THUNDERWAVE,TORMENT,TOXIC,TRICKROOM,ZENHEADBUTT
EggMoves = CAPTIVATE,DARKPULSE,HEALPULSE,MEANLOOK,MIRACLEEYE,MIRRORCOAT,UPROAR
EggGroups = Humanlike
HatchSteps = 5120
Height = 0.4
Weight = 5.8
Color = Purple
Shape = Bipedal
Category = Fixation
Pokedex = Gothita and its evolutions have inspired a subculture in the Mazah region. Close proximity to Gothita seems to amplify feelings of melancholy.
Generation = 5
Evolutions = GOTHORITA,Level,32
#-------------------------------
[GOTHORITA]
Name = Gothorita
Types = PSYCHIC
BaseStats = 60,45,70,55,75,85
GenderRatio = Female75Percent
GrowthRate = Parabolic
BaseExp = 137
EVs = SPECIAL_DEFENSE,2
CatchRate = 100
Happiness = 70
Abilities = FRISK,COMPETITIVE
HiddenAbilities = SHADOWTAG
Moves = 1,POUND,1,CONFUSION,1,TICKLE,1,PLAYNICE,3,CONFUSION,7,TICKLE,10,FAKETEARS,14,DOUBLESLAP,16,PSYBEAM,19,EMBARGO,24,FEINTATTACK,25,PSYSHOCK,28,FLATTER,31,FUTURESIGHT,34,HEALBLOCK,39,PSYCHIC,43,TELEKINESIS,50,CHARM,53,MAGICROOM
TutorMoves = ALLYSWITCH,ATTRACT,CALMMIND,DARKPULSE,DOUBLETEAM,ENERGYBALL,FACADE,FOULPLAY,GRASSKNOT,HELPINGHAND,HIDDENPOWER,LIGHTSCREEN,PROTECT,PSYCHIC,PSYSHOCK,RAINDANCE,REFLECT,REST,RETURN,ROCKSLIDE,ROCKTOMB,ROUND,SAFEGUARD,SLEEPTALK,SUBSTITUTE,SWAGGER,TAUNT,THIEF,THUNDERBOLT,THUNDERWAVE,TORMENT,TOXIC,TRICKROOM,ZENHEADBUTT
EggGroups = Humanlike
HatchSteps = 5120
Height = 0.7
Weight = 18.0
Color = Purple
Shape = Bipedal
Category = Manipulate
Pokedex = Their power levels seem to have some connection to the position of stars. When they fall into position, Gothorita becomes much more powerful.
Generation = 5
Evolutions = GOTHITELLE,Level,41
#-------------------------------
[GOTHITELLE]
Name = Gothitelle
Types = PSYCHIC
BaseStats = 70,55,95,65,95,110
GenderRatio = Female75Percent
GrowthRate = Parabolic
BaseExp = 221
EVs = SPECIAL_DEFENSE,3
CatchRate = 50
Happiness = 70
Abilities = FRISK,COMPETITIVE
HiddenAbilities = SHADOWTAG
Moves = 1,POUND,1,CONFUSION,1,TICKLE,1,PLAYNICE,3,CONFUSION,7,TICKLE,10,FAKETEARS,14,DOUBLESLAP,16,PSYBEAM,19,EMBARGO,24,FEINTATTACK,25,PSYSHOCK,28,FLATTER,31,FUTURESIGHT,34,HEALBLOCK,39,PSYCHIC,45,TELEKINESIS,54,CHARM,59,MAGICROOM
TutorMoves = ALLYSWITCH,ATTRACT,BRICKBREAK,CALMMIND,DARKPULSE,DOUBLETEAM,ENERGYBALL,FACADE,FOULPLAY,GIGAIMPACT,GRASSKNOT,HELPINGHAND,HIDDENPOWER,HYPERBEAM,LIGHTSCREEN,LOWSWEEP,PROTECT,PSYCHIC,PSYSHOCK,RAINDANCE,REFLECT,REST,RETURN,ROCKSLIDE,ROCKTOMB,ROUND,SAFEGUARD,SLEEPTALK,SUBSTITUTE,SWAGGER,TAUNT,THIEF,THUNDERBOLT,THUNDERWAVE,TORMENT,TOXIC,TRICKROOM,ZENHEADBUTT
EggGroups = Humanlike
HatchSteps = 5120
Height = 1.5
Weight = 44.0
Color = Purple
Shape = Bipedal
Category = Astral Body
Pokedex = Gothitelle are feared and respected for their ability to accurately gauge one's lifespan. They were treated like deities in the past.
Generation = 5
#-------------------------------
[VULPIX]
Name = Vulpix
Types = FIRE
BaseStats = 38,41,40,65,50,65
GenderRatio = Female75Percent
GrowthRate = Medium
BaseExp = 60
EVs = SPEED,1
CatchRate = 190
Happiness = 70
Abilities = FLASHFIRE
HiddenAbilities = DROUGHT
Moves = 1,EMBER,4,TAILWHIP,7,ROAR,9,BABYDOLLEYES,10,QUICKATTACK,12,CONFUSERAY,15,FIRESPIN,18,PAYBACK,20,WILLOWISP,23,FEINTATTACK,26,HEX,28,FLAMEBURST,31,EXTRASENSORY,34,SAFEGUARD,36,FLAMETHROWER,39,IMPRISON,42,FIREBLAST,44,GRUDGE,47,CAPTIVATE,50,INFERNO
TutorMoves = ATTRACT,DARKPULSE,DOUBLETEAM,ENERGYBALL,FACADE,FIREBLAST,FLAMETHROWER,FOULPLAY,HIDDENPOWER,PROTECT,REST,RETURN,ROAR,ROUND,SAFEGUARD,SLEEPTALK,SUBSTITUTE,SUNNYDAY,SWAGGER,TOXIC,WILLOWISP,ZENHEADBUTT
EggMoves = CAPTIVATE,DISABLE,EXTRASENSORY,FEINTATTACK,FLAIL,FLAREBLITZ,HEATWAVE,HEX,HOWL,HYPNOSIS,POWERSWAP,SECRETPOWER,SPITE,TAILSLAP
EggGroups = Field
HatchSteps = 5120
Height = 0.6
Weight = 9.9
Color = Brown
Shape = Quadruped
Habitat = Grassland
Category = Fox
Pokedex = In the arid climate of the Mazah region, people and Pokémon will avoid Vulpix's heat-radiating fur. Vulpix is more than content with being left alone.
Generation = 1
WildItemUncommon = CHARCOAL
Evolutions = NINETALES,Item,FIRESTONE
#-------------------------------
[NINETALES]
Name = Ninetales
Types = FIRE
BaseStats = 73,76,75,100,81,100
GenderRatio = Female75Percent
GrowthRate = Medium
BaseExp = 177
EVs = SPEED,1,SPECIAL_DEFENSE,1
CatchRate = 75
Happiness = 70
Abilities = FLASHFIRE
HiddenAbilities = DROUGHT
Moves = 1,IMPRISON,1,NASTYPLOT,1,FLAMETHROWER,1,QUICKATTACK,1,CONFUSERAY,1,SAFEGUARD
TutorMoves = ATTRACT,CALMMIND,DARKPULSE,DOUBLETEAM,ENERGYBALL,FACADE,FIREBLAST,FLAMETHROWER,FOULPLAY,GIGAIMPACT,HIDDENPOWER,HYPERBEAM,PROTECT,PSYSHOCK,REST,RETURN,ROAR,ROUND,SAFEGUARD,SLEEPTALK,SOLARBEAM,SUBSTITUTE,SUNNYDAY,SWAGGER,TOXIC,WILLOWISP,ZENHEADBUTT
EggGroups = Field
HatchSteps = 5120
Height = 1.1
Weight = 19.9
Color = Yellow
Shape = Quadruped
Habitat = Grassland
Category = Fox
Pokedex = Ninetales's tails flow brilliantly, as if they have a mind of their own. Ancient stories tell of a Ninetales bringing heat to a town stuck in an intense winter storm.
Generation = 1
WildItemUncommon = CHARCOAL
#-------------------------------
[MURKROW]
Name = Murkrow
Types = DARK,FLYING
BaseStats = 60,85,42,91,85,42
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 81
EVs = SPEED,1
CatchRate = 30
Happiness = 35
Abilities = INSOMNIA,SUPERLUCK
HiddenAbilities = PRANKSTER
Moves = 1,PECK,1,ASTONISH,5,PURSUIT,11,HAZE,15,WINGATTACK,21,NIGHTSHADE,25,ASSURANCE,31,TAUNT,35,FEINTATTACK,41,MEANLOOK,45,FOULPLAY,50,TAILWIND,55,SUCKERPUNCH,61,TORMENT,65,QUASH
TutorMoves = AERIALACE,ATTRACT,CALMMIND,DEFOG,DOUBLETEAM,FACADE,FLY,FOULPLAY,HIDDENPOWER,PROTECT,PSYCHIC,RAINDANCE,REST,RETURN,ROUND,HEX,SLEEPTALK,SNARL,STEELWING,SUBSTITUTE,SUNNYDAY,SWAGGER,TAUNT,THIEF,THUNDERWAVE,TORMENT,TOXIC
EggMoves = ASSURANCE,BRAVEBIRD,CONFUSERAY,DRILLPECK,FEATHERDANCE,FEINTATTACK,FLATTER,MIRRORMOVE,PERISHSONG,PSYCHOSHIFT,PUNISHMENT,ROOST,SCREECH,SKYATTACK,WHIRLWIND,WINGATTACK
EggGroups = Flying
HatchSteps = 5120
Height = 0.5
Weight = 2.1
Color = Black
Shape = Winged
Habitat = Forest
Category = Darkness
Pokedex = Murkrow is a menace to various Mazian Pokémon. They will harass Zea-Zaya colonies and bully Cromen. They are hated with a passion.
Generation = 2
Evolutions = HONCHKROW,Item,DUSKSTONE
#-------------------------------
[HONCHKROW]
Name = Honchkrow
Types = DARK,FLYING
BaseStats = 100,125,52,71,105,52
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 177
EVs = ATTACK,2
CatchRate = 30
Happiness = 35
Abilities = INSOMNIA,SUPERLUCK
HiddenAbilities = MOXIE
Moves = 1,NIGHTSLASH,1,SUCKERPUNCH,1,ASTONISH,1,PURSUIT,1,HAZE,1,WINGATTACK,25,SWAGGER,35,NASTYPLOT,45,FOULPLAY,55,NIGHTSLASH,65,QUASH,75,DARKPULSE
TutorMoves = AERIALACE,ATTRACT,CALMMIND,DARKPULSE,DEFOG,DOUBLETEAM,FACADE,FLY,FOULPLAY,GIGAIMPACT,HIDDENPOWER,HYPERBEAM,PROTECT,PSYCHIC,RAINDANCE,REST,RETURN,ROUND,HEX,SLEEPTALK,SNARL,STEELWING,SUBSTITUTE,SUNNYDAY,SWAGGER,TAUNT,THIEF,THUNDERWAVE,TORMENT,TOXIC
EggGroups = Flying
HatchSteps = 5120
Height = 0.9
Weight = 27.3
Color = Black
Shape = Winged
Category = Big Boss
Pokedex = Honchkrow and their Murkrow flocks compete with Noctavispa to try and control Minimelo colonies, their preferred prey.
Generation = 4
#-------------------------------
[LITWICK]
Name = Litwick
Types = GHOST,FIRE
BaseStats = 50,30,55,20,65,55
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 55
EVs = SPECIAL_ATTACK,1
CatchRate = 190
Happiness = 70
Abilities = FLASHFIRE,FLAMEBODY
HiddenAbilities = INFILTRATOR
Moves = 1,EMBER,1,ASTONISH,3,MINIMIZE,5,SMOG,7,FIRESPIN,10,CONFUSERAY,13,NIGHTSHADE,16,WILLOWISP,20,FLAMEBURST,24,IMPRISON,28,HEX,33,MEMENTO,38,INFERNO,43,CURSE,49,SHADOWBALL,55,PAINSPLIT,61,OVERHEAT
TutorMoves = ALLYSWITCH,ATTRACT,CALMMIND,DARKPULSE,DOUBLETEAM,ENERGYBALL,FACADE,FIREBLAST,FLAMETHROWER,HIDDENPOWER,PROTECT,PSYCHIC,REST,RETURN,ROUND,SAFEGUARD,HEX,SLEEPTALK,SOLARBEAM,SUBSTITUTE,SUNNYDAY,SWAGGER,TAUNT,THIEF,TOXIC,TRICKROOM,WILLOWISP
EggMoves = ACID,ACIDARMOR,CAPTIVATE,CLEARSMOG,ENDURE,HAZE,HEATWAVE,POWERSPLIT
EggGroups = Amorphous
HatchSteps = 5120
Height = 0.3
Weight = 3.1
Color = White
Shape = HeadBase
Category = Candle
Pokedex = In return for being cared for by the locals, Litwick light up cemeteries to help guide the deceased to their living relatives.
Generation = 5
Evolutions = LAMPENT,Level,41
#-------------------------------
[LAMPENT]
Name = Lampent
Types = GHOST,FIRE
BaseStats = 60,40,60,55,95,60
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 130
EVs = SPECIAL_ATTACK,2
CatchRate = 90
Happiness = 70
Abilities = FLASHFIRE,FLAMEBODY
HiddenAbilities = INFILTRATOR
Moves = 1,EMBER,1,ASTONISH,1,MINIMIZE,1,SMOG,3,MINIMIZE,5,SMOG,7,FIRESPIN,10,CONFUSERAY,13,NIGHTSHADE,16,WILLOWISP,20,FLAMEBURST,24,IMPRISON,28,HEX,33,MEMENTO,38,INFERNO,45,CURSE,53,SHADOWBALL,61,PAINSPLIT,69,OVERHEAT
TutorMoves = ALLYSWITCH,ATTRACT,CALMMIND,DARKPULSE,DOUBLETEAM,ENERGYBALL,FACADE,FIREBLAST,FLAMETHROWER,HIDDENPOWER,PROTECT,PSYCHIC,REST,RETURN,ROUND,SAFEGUARD,HEX,SLEEPTALK,SOLARBEAM,SUBSTITUTE,SUNNYDAY,SWAGGER,TAUNT,THIEF,TOXIC,TRICKROOM,WILLOWISP
EggGroups = Amorphous
HatchSteps = 5120
Height = 0.6
Weight = 13.0
Color = Black
Shape = HeadArms
Category = Lamp
Pokedex = They disguise themselves as real lamps, but one can spot them by examining their "flame".
Generation = 5
Evolutions = CHANDELURE,Item,DUSKSTONE
#-------------------------------
[CHANDELURE]
Name = Chandelure
Types = GHOST,FIRE
BaseStats = 60,55,90,80,145,90
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 234
EVs = SPECIAL_ATTACK,3
CatchRate = 45
Happiness = 70
Abilities = FLASHFIRE,FLAMEBODY
HiddenAbilities = INFILTRATOR
Moves = 1,PAINSPLIT,1,SMOG,1,CONFUSERAY,1,FLAMEBURST,1,HEX
TutorMoves = ALLYSWITCH,ATTRACT,CALMMIND,DARKPULSE,DOUBLETEAM,ENERGYBALL,FACADE,FIREBLAST,FLAMETHROWER,GIGAIMPACT,HIDDENPOWER,HYPERBEAM,PROTECT,PSYCHIC,REST,RETURN,ROUND,SAFEGUARD,HEX,SLEEPTALK,SOLARBEAM,SUBSTITUTE,SUNNYDAY,SWAGGER,TAUNT,THIEF,TOXIC,TRICKROOM,WILLOWISP
EggGroups = Amorphous
HatchSteps = 5120
Height = 1.0
Weight = 34.3
Color = Black
Shape = HeadArms
Category = Luring
Pokedex = Their flames are said to steal souls from humans. They inspired the chandelier and it was even named after them.
Generation = 5
#-------------------------------
[TERREON]
Name = Terreon
Types = GROUND
BaseStats = 130,110,95,60,65,65
GenderRatio = FemaleOneEighth
GrowthRate = Medium
BaseExp = 65
EVs = HP,2
CatchRate = 45
Happiness = 70
Abilities = GOOEY
HiddenAbilities = NOGUARD
Moves = 0,MUDSHOT,1,COVET,1,SWIFT,1,BITE,1,COPYCAT,1,BATONPASS,1,TAKEDOWN,1,CHARM,1,DOUBLEEDGE,1,HELPINGHAND,1,TACKLE,1,GROWL,1,TAILWHIP,5,SANDATTACK,10,QUICKATTACK,15,BABYDOLLEYES,20,SANDTOMB,25,TARSHOT,30,BONERUSH,35,SANDSTORM,40,ACCELEROCK,45,HEADSMASH,50,EARTHQUAKE,55,LASTRESORT
TutorMoves = CUT,STRENGTH,WORKUP,HELPINGHAND,PROTECT,RAINDANCE,SUNNYDAY,RETURN,FACADE,REST,SLEEPTALK,ATTRACT,ROUND,TOXIC,AERIALACE,REST,SLEEPTALK,REST,SLEEPTALK,BODYSLAM,SUBSTITUTE,EARTHQUAKE,SCORCHINGSANDS,DIG,SANDSTORM,ROCKTOMB,ROCKSLIDE,STONEEDGE,GYROBALL,BODYPRESS,ZENHEADBUTT,PLAYROUGH,BRICKBREAK,ROAR
EggGroups = Field
HatchSteps = 8960
Height = 0.9
Weight = 36.7
Color = Brown
Shape = Quadruped
Habitat = Urban
Category = Mud Puppy
Pokedex = eve but mud, mid even
#-------------------------------
[GUSTEON]
Name = Gusteon
Types = FLYING
BaseStats = 65,65,60,130,95,110
GenderRatio = FemaleOneEighth
GrowthRate = Medium
BaseExp = 65
EVs = HP,2
CatchRate = 45
Happiness = 70
Abilities = CLOUDNINE
HiddenAbilities = CLEARBODY
